Название,Вес,Время,Количество повторений,Количество подходов,Время отдыха между повторениями,Краткое описание,Целевые мышцы,Рейтинг упражнения
Подъем на носки стоя 12,40,0,12,4,90,"Встаньте рядом с опорой, наклонитесь в сторону и вытяните противоположную руку вверх для растяжки бока.",грудь/плечи,4.3
Тяга штанги к подбородку 12,50,0,15,4,120,"Наклонитесь вперёд с прямой спиной, подтяните вес к поясу, сводя лопатки вместе.",ноги/ягодицы,4.6
Пулловер с гантелью 12,40,0,10,3,60,"Встаньте рядом с опорой, наклонитесь в сторону и вытяните противоположную руку вверх для растяжки бока.",грудь/трицепс,4.2
Отжимания на брусьях 12,0,60,0,0,60,"Сядьте на тренажёр, выберите нужный вес и выполните движение в полную амплитуду.",грудь/трицепс,4.6
Румынская тяга 12,50,0,10,3,120,"Держите гантели в обеих руках, сгибайте руки в локтях, не двигая плечами.",приводящие,4.4
Жим Арнольда 12,0,0,12,3,60,"Упритесь руками в пол и попеременно подтягивайте колени к груди, удерживая корпус стабильным.",приводящие,4.9
Подъём ног в висе 12,30,0,10,4,120,"Держите гантели в обеих руках, сгибайте руки в локтях, не двигая плечами.",ноги/ягодицы,4.9
Бег на месте 12,5,0,15,4,120,"Лягте на скамью, возьмитесь за гриф, опустите его к груди и выжмите вверх.",икры,4.3
Бёрпи 12,30,0,10,3,90,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",приводящие,4.6
Прыжки на скакалке 12,5,0,12,4,90,"Сядьте, вытяните ноги вперёд, наклонитесь корпусом к стопам, удерживая растяжку 30 секунд.",плечи/трапеции,4.1
Альпинист 12,30,0,10,3,90,"Упритесь руками в пол и попеременно подтягивайте колени к груди, удерживая корпус стабильным.",пресс,4.4
Скакалка двойные прыжки 12,50,0,10,3,60,"Наклонитесь вперёд с прямой спиной, подтяните вес к поясу, сводя лопатки вместе.",икры,4.4
Жим штанги лёжа 13,10,0,15,3,90,"Сядьте на тренажёр, выберите нужный вес и выполните движение в полную амплитуду.",пресс,4.6
Становая тяга 13,10,0,10,4,90,"Лягте на скамью, возьмитесь за гриф, опустите его к груди и выжмите вверх.",спина/поясница,4.8
Приседания со штангой 13,5,0,10,4,60,"Упритесь руками в пол и попеременно подтягивайте колени к груди, удерживая корпус стабильным.",спина/поясница,4.8
Подтягивания широким хватом 13,5,0,15,3,90,"Сядьте, вытяните ноги вперёд, наклонитесь корпусом к стопам, удерживая растяжку 30 секунд.",предплечья,4.8
Отжимания от пола 13,20,0,10,3,90,"Сядьте на тренажёр, выберите нужный вес и выполните движение в полную амплитуду.",плечи/трапеции,4.9
Сгибание рук с гантелями 13,40,0,15,4,90,"Сядьте, вытяните ноги вперёд, наклонитесь корпусом к стопам, удерживая растяжку 30 секунд.",икры,4.1
Разгибание ног в тренажёре 13,5,0,12,4,120,"Упритесь руками в пол и попеременно подтягивайте колени к груди, удерживая корпус стабильным.",грудь/трицепс,4.4
Планка 13,50,0,10,4,120,"Сядьте на тренажёр, выберите нужный вес и выполните движение в полную амплитуду.",грудь/плечи,4.8
Подъём корпуса на пресс 13,40,0,15,4,60,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",плечи/трапеции,4.3
Разведение рук с гантелями лёжа 13,0,0,15,3,60,"Встаньте на колени, удерживайте ролик обеими руками, раскатитесь вперёд и вернитесь в исходное положение.",грудь/плечи,4.4
Жим гантелей сидя 13,0,60,0,0,120,"Лягте на скамью, возьмитесь за гриф, опустите его к груди и выжмите вверх.",предплечья,4.7
Тяга верхнего блока 13,30,0,10,3,60,"Лягте на скамью, возьмитесь за гриф, опустите его к груди и выжмите вверх.",плечи/трапеции,4.4
Гиперэкстензия 13,30,0,15,3,90,"Сядьте на тренажёр, выберите нужный вес и выполните движение в полную амплитуду.",спина/бицепс,4.5
Выпады с гантелями 13,50,0,10,3,120,"Держите гантели в обеих руках, сгибайте руки в локтях, не двигая плечами.",приводящие,4.2
Скручивания на полу 13,10,0,15,4,60,"Встаньте рядом с опорой, наклонитесь в сторону и вытяните противоположную руку вверх для растяжки бока.",приводящие,4.9
Тяга в наклоне 13,30,0,10,4,90,"Упритесь руками в пол и попеременно подтягивайте колени к груди, удерживая корпус стабильным.",предплечья,4.5
