Название,Вес,Время,Количество повторений,Количество подходов,Время отдыха между повторениями,Краткое описание,Целевые мышцы,Рейтинг упражнения,Оригинальное название на английском,Сложность,Частые ошибки
Становая тяга из паузы у колен,20,0,6,5,60,"Стопы на ширине таза, гриф над серединой стопы; держите спину нейтральной, поднимайте штангу, разгибая колени и бёдра одновременно. Остановитесь на уровне колен и продолжите без рывка.",задняя цепь/спина/ягодицы,4.3,Deadlift — paused at knees,Продвинутый,Округление поясницы; гриф далеко от тела; рывок с пола; перезалом вверху; отсутствует контроль темпа.
Румынская тяга из паузы у колен,20,0,6,3,150,"Штанга в руках, колени мягкие; отведите таз назад, опуская штангу вдоль бёдер до натяжения задней поверхности, затем вернитесь. Остановитесь на уровне колен и продолжите без рывка.",бёдра/ягодицы,3.8,Romanian deadlift — paused at knees,Продвинутый,Сильный сгиб коленей; гриф далеко от ног; гиперпрогиб; короткая амплитуда; отсутствует контроль темпа.
Приседания со штангой из паузы у колен,70,0,15,3,150,"Стойка на ширине плеч, корпус напряжён; присядьте до параллели, колени по траектории носков, встаньте, сохраняя нейтральную спину. Остановитесь на уровне колен и продолжите без рывка.",квадрицепсы/ягодицы/кор,4.6,Back squat — paused at knees,Продвинутый,Колени заваливаются; пятки отрываются; округление спины; непостоянная глубина; отсутствует контроль темпа.
Выпады изоляция с малым весом,10,0,15,5,150,"Сделайте широкий шаг вперёд; опуститесь до прямого угла в колене передней ноги, толкнитесь пяткой и вернитесь. Умеренный вес, полная амплитуда и фокус на мышце.",ягодицы/квадрицепсы,4.9,Lunge — light isolation,Новичок,Колено заваливается; шаг слишком короткий; чрезмерный наклон корпуса; толчок носком; отсутствует контроль темпа.
Жим штанги стоя из паузы у колен,70,0,8,3,120,"Стойка на ширине плеч, корпус напряжён; выжмите штангу над головой по прямой и опустите под контроль. Остановитесь на уровне колен и продолжите без рывка.",плечи/трицепс,4.4,Overhead press — paused at knees,Продвинутый,Гиперпрогиб поясницы; дуга траектории; локти назад; задержка дыхания; отсутствует контроль темпа.
Жим гантелей сидя изоляция с малым весом,20,0,12,4,150,"Сядьте, лопатки сведены; выжимайте гантели вверх по дуге и опускайте до уровня ушей. Умеренный вес, полная амплитуда и фокус на мышце.",плечи,4.6,Seated dumbbell shoulder press — light isolation,Средний,Сведение с ударом; отрыв поясницы; опускание слишком низко; отсутствует контроль темпа.
Махи гантелями в стороны изоляция с малым весом,8,0,10,5,120,"Встаньте прямо, лёгкий наклон корпуса; поднимайте гантели в стороны до уровня плеч, ведите локтем, опускайте медленно. Умеренный вес, полная амплитуда и фокус на мышце.",средняя дельта,3.8,Dumbbell lateral raise — light isolation,Новичок,Читинг корпусом; чрезмерные веса; внутренний поворот плеча; отсутствует контроль темпа.
Тяга к подбородку из паузы у колен,40,0,15,5,180,"Возьмитесь узким хватом; тяните штангу вдоль корпуса до верхней груди/ключиц, локти выше грифа, опускайте плавно. Остановитесь на уровне колен и продолжите без рывка.",плечи/трапеции,4.9,Upright row — paused at knees,Продвинутый,Слишком узкий хват; подъём слишком высоко; излом запястий; отсутствует контроль темпа.
Шраги изоляция с малым весом,20,0,6,3,180,"Держите гантели по бокам; поднимайте плечи вверх к ушам, делая короткую паузу, опускайте полностью. Умеренный вес, полная амплитуда и фокус на мышце.",трапеции,4.1,Shrug — light isolation,Новичок,Вращение плечами; короткая амплитуда; чрезмерный вес с читингом; отсутствует контроль темпа.
Подъём на бицепс со штангой из паузы у колен,50,0,12,3,150,"Стойка стабильна, локти у корпуса; сгибайте руки, не раскачивая корпус, опускайте под контролем. Остановитесь на уровне колен и продолжите без рывка.",бицепс,4.9,Barbell biceps curl — paused at knees,Продвинутый,Раскачка корпусом; локти уходят вперёд; частичная амплитуда; отсутствует контроль темпа.
Подъём на бицепс молот изоляция с малым весом,8,0,15,3,150,"Хват нейтральный, локти у корпуса; поднимайте гантели, сохраняя предплечья в нейтрали, опускайте медленно. Умеренный вес, полная амплитуда и фокус на мышце.",бицепс/предплечья,3.8,Hammer curl — light isolation,Новичок,Локти отходят; махи; неконтролируемая эксцентрика; отсутствует контроль темпа.
Концентрированный подъём на бицепс изоляция с малым весом,10,0,10,4,120,"Сядьте, упёрев локоть в бедро; поднимайте гантель к плечу, делая паузу вверху, опускайте контролируемо. Умеренный вес, полная амплитуда и фокус на мышце.",бицепс,3.8,Concentration curl — light isolation,Новичок,Движение плечом; потеря фиксации локтя; скручивание корпуса; отсутствует контроль темпа.
Французский жим из паузы у колен,60,0,6,4,90,"Лягте на скамью, штанга над грудью; сгибайте руки, опуская гриф к лбу/за голову, разогните до полного сокращения трицепса. Остановитесь на уровне колен и продолжите без рывка.",трицепс,3.5,Lying triceps extension — paused at knees,Продвинутый,Локти расходятся; опускание на лоб; гиперпрогиб в пояснице; отсутствует контроль темпа.
Разгибания на блоке обратным хватом,15,0,15,5,150,"Встаньте у верхнего блока, локти прижаты; разгибайте руки вниз до полного выпрямления и возвращайте без раскачки. Фиксируйте локти у корпуса, не скручивайте кисти.",трицепс,5.0,Triceps pushdown — reverse-grip,Средний,Локти уходят от корпуса; раскачка; перегиб кистей; отсутствует контроль темпа.
Отжимания на брусьях динамический вариант,0,0,15,5,150,"Опирайтесь на брусья, корпус слегка наклонён; опускайтесь до параллели плеч с локтями, выжимайтесь вверх. Чередуйте движение и фиксацию для нагрузки.",грудь/трицепс,4.5,Dip — dynamic,Средний,Сильный провал в плечах; чрезмерная глубина; разброс локтей; отсутствует контроль темпа.
Отжимания динамический вариант,5,0,8,4,180,"Упритесь ладонями под плечами, корпус прямой; опуститесь до касания грудью/90° в локтях, выжмитесь вверх. Чередуйте движение и фиксацию для нагрузки.",грудь/плечи/трицепс,5.0,Push-up — dynamic,Средний,Провисание корпуса; локти сильно в стороны; неполная амплитуда; отсутствует контроль темпа.
Скручивания динамический вариант,5,0,8,4,180,"Лягте на спину, колени согнуты; подкручивайте грудную клетку к тазу, не тяните шею, делайте короткую паузу вверху. Чередуйте движение и фиксацию для нагрузки.",пресс,3.8,Crunch — dynamic,Средний,Тянуть шею руками; рывки; большой размах вместо подкручивания; отсутствует контроль темпа.
Подъём ног в висе динамический вариант,0,0,6,5,120,"Повисните на перекладине; поднимайте прямые ноги/колени к груди, удерживая таз подкрученным, опускайте медленно. Чередуйте движение и фиксацию для нагрузки.",нижний пресс,3.5,Hanging leg raise — dynamic,Средний,Махи ногами; прогиб поясницы; отсутствие подкрутки таза; отсутствует контроль темпа.
Планка динамический вариант,5,60,0,4,180,"Опуститесь на предплечья, корпус прямой; держите нейтральную спину и напряжённый кор, не провисайте. Чередуйте движение и фиксацию для нагрузки.",кор,3.6,Plank — dynamic,Средний,Провисание поясницы; поднятый таз; разведение лопаток; отсутствует контроль темпа.
Русский твист динамический вариант,0,30,0,3,90,"Сядьте, корпус слегка отклонён; поворачивайте плечевой пояс и таз синхронно, касаясь пола по сторонам. Чередуйте движение и фиксацию для нагрузки.",косые мышцы живота,4.2,Russian twist — dynamic,Средний,Скругление спины; вращение одними руками; слишком быстрый темп; отсутствует контроль темпа.
Берпи динамический вариант,0,40,0,4,180,"Из стойки сделайте упор лёжа, отожмитесь; подпрыгните вверх с руками над головой. Чередуйте движение и фиксацию для нагрузки.",всё тело/кардио,4.4,Burpee — dynamic,Средний,Плохая техника отжимания; колени заваливаются при прыжке; отсутствие фиксации вверху; отсутствует контроль темпа.
Скакалка динамический вариант,5,60,0,3,90,Держите локти близко к корпусу; вращайте верёвку кистями и приземляйтесь на носки мягко и ритмично. Чередуйте движение и фиксацию для нагрузки.,кардио/икры,3.5,Jump rope — dynamic,Средний,Слишком высокие прыжки; вращение плечами; жёсткая посадка на пятку; отсутствует контроль темпа.
Тяга каната к лицу обратным хватом,5,0,6,4,150,"Встаньте у блока с канатом; тяните к лицу, разводя кисти и сводя лопатки, держите локти высоко. Фиксируйте локти у корпуса, не скручивайте кисти.",задняя дельта/верх спины,4.1,Face pull — reverse-grip,Средний,Локти низко; тянуть руками без лопаток; нет разведения кистей; отсутствует контроль темпа.
Тяга гантели в наклоне изоляция с малым весом,6,0,6,3,60,"Упритесь коленом и рукой в скамью; тяните гантель к тазу, сводя лопатки, опускайте без рывка. Умеренный вес, полная амплитуда и фокус на мышце.",широчайшие/средняя спина,4.8,Dumbbell row — light isolation,Средний,Скручивание корпуса; рывки; тяга к плечу вместо к тазу; отсутствует контроль темпа.
Хип-траст из паузы у колен,60,0,15,4,180,"Плечи на скамье, штанга на тазе; поднимайте таз до линии корпус–бёдра, делая паузу вверху, опускайте. Остановитесь на уровне колен и продолжите без рывка.",ягодицы,3.9,Hip thrust — paused at knees,Продвинутый,Чрезмерный прогиб; короткая пауза; неверная постановка стоп; отсутствует контроль темпа.
Ягодичный мост динамический вариант,0,0,10,4,60,"Лягте на спину, стопы ближе к тазу; поднимайте таз, сжимая ягодицы, опускайте, сохраняя нейтральную спину. Чередуйте движение и фиксацию для нагрузки.",ягодицы,3.5,Glute bridge — dynamic,Средний,Толчок поясницей; неполная амплитуда; колени гуляют; отсутствует контроль темпа.
Трастеры из паузы у колен,30,20,0,4,90,"Присядьте со штангой на груди и взрывно выжмите её над головой, возвращаясь в стойку контролируемо. Остановитесь на уровне колен и продолжите без рывка.",всё тело,4.4,Thruster — paused at knees,Продвинутый,Ранний пресс до выпрямления ног; дуга грифа; колени заваливаются; отсутствует контроль темпа.
Жим Арнольда изоляция с малым весом,12,0,6,3,60,"Сидя, начните с гантелями у груди ладонями к себе; вращая кисти, выжмите вверх до полного разгибания и опустите обратно. Умеренный вес, полная амплитуда и фокус на мышце.",плечи,3.8,Arnold press — light isolation,Средний,Сваливание локтей; сведение с ударом; излишний прогиб; отсутствует контроль темпа.
Фермерская прогулка изоляция с малым весом,20,45,0,4,60,"Возьмите тяжёлые гантели, корпус высокий; идите ровно короткими шагами, удерживая кор и нейтральную спину. Умеренный вес, полная амплитуда и фокус на мышце.",хват/кор/трапеции,3.7,Farmer's walk — light isolation,Средний,Сутулость; переваливание корпуса; стук снарядов о ноги; задержка дыхания; отсутствует контроль темпа.
Кикбэк на трицепс с гантелью изоляция с малым весом,16,0,8,5,60,"Наклоните корпус, локоть прижмите и поднимите вверх; разгибайте руку назад до полного сокращения трицепса, возвращайте плавно. Умеренный вес, полная амплитуда и фокус на мышце.",трицепс,4.4,Dumbbell triceps kickback — light isolation,Новичок,Движение плечом; локоть опускается; чрезмерный вес; отсутствует контроль темпа.
Кикбэк на трицепс на блоке (канате) обратным хватом,15,0,8,4,90,"Корпус в наклоне, локти фиксированы; разгибайте предплечья назад, разводя концы каната в конце амплитуды. Фиксируйте локти у корпуса, не скручивайте кисти.",трицепс,4.8,Cable triceps kickback (rope) — reverse-grip,Средний,Разведение локтей; движение корпусом; излом запястий; отсутствует контроль темпа.
Кикбэк на трицепс с опорой на скамью изоляция с малым весом,8,0,8,3,60,"Опирайтесь на скамью свободной рукой; из положения наклона разгибайте руку с гантелью назад до полного выпрямления. Умеренный вес, полная амплитуда и фокус на мышце.",трицепс,4.6,Bench-supported dumbbell triceps kickback — light isolation,Новичок,Округление спины; локоть «уезжает»; махи; отсутствует контроль темпа.
Кикбэк на трицепс в наклоне (поочерёдно) изоляция с малым весом,20,0,6,5,60,"В наклоне разгибайте поочерёдно каждую руку назад, фиксируя локоть и избегая раскачки корпуса. Умеренный вес, полная амплитуда и фокус на мышце.",трицепс,4.7,Alternating dumbbell triceps kickback — light isolation,Новичок,Раскачка корпусом; опускание локтя; неполная амплитуда; отсутствует контроль темпа.
Жим штанги лёжа с дефицита,20,0,10,5,150,"Лягте на скамью, лопатки сведены, стопы упираются; опустите штангу к нижней груди и выжмите вверх, не теряя напряжение. Используйте подставку для увеличения амплитуды, держите спину нейтральной.",грудь/плечи/трицепс,3.5,Barbell bench press — deficit,Продвинутый,Развод локтей; отрыв стоп; отскок от груди; гиперпрогиб в пояснице; неполная пауза; отсутствует контроль темпа.
Жим гантелей на наклонной скамье тяжёлые 6–8 повторений,16,0,10,3,90,"Лягте на наклон 30–45°, гантели у груди; выжмите по дуге вверх и сведите без удара, опускайте контролируемо. Выбирайте вес на 6–8 повторений с чистой техникой.",верхняя грудь/плечи,4.2,Incline dumbbell press — heavy 6–8 reps,Средний,Сведение с ударом; провал плеч; опускание слишком низко; потеря контроля лопаток; отсутствует контроль темпа.
Разводка гантелей лёжа тяжёлые 6–8 повторений,20,0,15,5,150,"Лягте на скамью, лёгкий сгиб в локтях; разводите руки по широкой дуге до растяжения груди и сводите обратно. Выбирайте вес на 6–8 повторений с чистой техникой.",грудь,4.5,Dumbbell flye — heavy 6–8 reps,Средний,Слишком прямые руки; рывки; чрезмерный вес; превращение движения в жим; отсутствует контроль темпа.
Сведение рук в кроссовере темп 3–1–3,15,0,12,4,120,"Встаньте между блоками, корпус слегка наклонён; сводите рукояти по дуге перед грудью, контролируя растяжение и сокращение. Медленный негатив и пауза в сокращении.",грудь,4.1,Cable crossover — tempo 3–1–3,Продвинутый,Скручивание корпуса; рывки; сведение за счёт плеч; неверная высота траектории; отсутствует контроль темпа.
Подтягивания на нестабильной опоре,5,0,10,4,150,"Возьмитесь за перекладину пронированным хватом, корпус стабилен; тянитесь грудью к перекладине, опускайтесь до полного выпрямления рук. Используйте валик/мяч, контролируйте положение корпуса.",спина/бицепс,3.5,Pull-up — unstable surface,Продвинутый,Недоразгибание локтей; раскачка; подбородок не выше перекладины; не сводите лопатки; отсутствует контроль темпа.
Тяга верхнего блока темп 3–1–3,20,0,8,5,60,"Возьмитесь широким хватом, грудь вперёд; тяните рукоять к верхней груди, сводя лопатки, поднимайте руки контролируемо. Медленный негатив и пауза в сокращении.",широчайшие/бицепс,4.1,Lat pulldown — tempo 3–1–3,Продвинутый,Тяга за голову; чрезмерный прогиб; работа руками вместо спины; отбивание веса; отсутствует контроль темпа.
Тяга штанги в наклоне с дефицита,30,0,8,3,90,"Станьте в наклон 30–45°, спина нейтральна; тяните штангу к нижней части живота, сводя лопатки, опускайте без рывков. Используйте подставку для увеличения амплитуды, держите спину нейтральной.",спина/задняя дельта,4.0,Bent-over barbell row — deficit,Продвинутый,Круглая спина; подрыв корпусом; траектория слишком высоко; отсутствие паузы; отсутствует контроль темпа.
Становая тяга с дефицита,50,0,12,3,60,"Стопы на ширине таза, гриф над серединой стопы; держите спину нейтральной, поднимайте штангу, разгибая колени и бёдра одновременно. Используйте подставку для увеличения амплитуды, держите спину нейтральной.",задняя цепь/спина/ягодицы,4.8,Deadlift — deficit,Продвинутый,Округление поясницы; гриф далеко от тела; рывок с пола; перезалом вверху; отсутствует контроль темпа.
Румынская тяга с дефицита,20,0,10,3,150,"Штанга в руках, колени мягкие; отведите таз назад, опуская штангу вдоль бёдер до натяжения задней поверхности, затем вернитесь. Используйте подставку для увеличения амплитуды, держите спину нейтральной.",бёдра/ягодицы,4.0,Romanian deadlift — deficit,Продвинутый,Сильный сгиб коленей; гриф далеко от ног; гиперпрогиб; короткая амплитуда; отсутствует контроль темпа.
Приседания со штангой с дефицита,70,0,8,4,90,"Стойка на ширине плеч, корпус напряжён; присядьте до параллели, колени по траектории носков, встаньте, сохраняя нейтральную спину. Используйте подставку для увеличения амплитуды, держите спину нейтральной.",квадрицепсы/ягодицы/кор,4.2,Back squat — deficit,Продвинутый,Колени заваливаются; пятки отрываются; округление спины; непостоянная глубина; отсутствует контроль темпа.
Выпады тяжёлые 6–8 повторений,6,0,10,4,150,"Сделайте широкий шаг вперёд; опуститесь до прямого угла в колене передней ноги, толкнитесь пяткой и вернитесь. Выбирайте вес на 6–8 повторений с чистой техникой.",ягодицы/квадрицепсы,4.6,Lunge — heavy 6–8 reps,Средний,Колено заваливается; шаг слишком короткий; чрезмерный наклон корпуса; толчок носком; отсутствует контроль темпа.
Жим штанги стоя с дефицита,40,0,8,4,150,"Стойка на ширине плеч, корпус напряжён; выжмите штангу над головой по прямой и опустите под контроль. Используйте подставку для увеличения амплитуды, держите спину нейтральной.",плечи/трицепс,4.9,Overhead press — deficit,Продвинутый,Гиперпрогиб поясницы; дуга траектории; локти назад; задержка дыхания; отсутствует контроль темпа.
Жим гантелей сидя тяжёлые 6–8 повторений,8,0,8,3,150,"Сядьте, лопатки сведены; выжимайте гантели вверх по дуге и опускайте до уровня ушей. Выбирайте вес на 6–8 повторений с чистой техникой.",плечи,4.3,Seated dumbbell shoulder press — heavy 6–8 reps,Средний,Сведение с ударом; отрыв поясницы; опускание слишком низко; отсутствует контроль темпа.
Махи гантелями в стороны тяжёлые 6–8 повторений,6,0,8,3,120,"Встаньте прямо, лёгкий наклон корпуса; поднимайте гантели в стороны до уровня плеч, ведите локтем, опускайте медленно. Выбирайте вес на 6–8 повторений с чистой техникой.",средняя дельта,4.2,Dumbbell lateral raise — heavy 6–8 reps,Средний,Читинг корпусом; чрезмерные веса; внутренний поворот плеча; отсутствует контроль темпа.
Тяга к подбородку с дефицита,40,0,6,4,180,"Возьмитесь узким хватом; тяните штангу вдоль корпуса до верхней груди/ключиц, локти выше грифа, опускайте плавно. Используйте подставку для увеличения амплитуды, держите спину нейтральной.",плечи/трапеции,4.7,Upright row — deficit,Продвинутый,Слишком узкий хват; подъём слишком высоко; излом запястий; отсутствует контроль темпа.
Шраги тяжёлые 6–8 повторений,8,0,12,3,180,"Держите гантели по бокам; поднимайте плечи вверх к ушам, делая короткую паузу, опускайте полностью. Выбирайте вес на 6–8 повторений с чистой техникой.",трапеции,4.0,Shrug — heavy 6–8 reps,Средний,Вращение плечами; короткая амплитуда; чрезмерный вес с читингом; отсутствует контроль темпа.
Подъём на бицепс со штангой с дефицита,30,0,12,3,150,"Стойка стабильна, локти у корпуса; сгибайте руки, не раскачивая корпус, опускайте под контролем. Используйте подставку для увеличения амплитуды, держите спину нейтральной.",бицепс,4.7,Barbell biceps curl — deficit,Продвинутый,Раскачка корпусом; локти уходят вперёд; частичная амплитуда; отсутствует контроль темпа.
Подъём на бицепс молот тяжёлые 6–8 повторений,12,0,8,3,90,"Хват нейтральный, локти у корпуса; поднимайте гантели, сохраняя предплечья в нейтрали, опускайте медленно. Выбирайте вес на 6–8 повторений с чистой техникой.",бицепс/предплечья,3.9,Hammer curl — heavy 6–8 reps,Средний,Локти отходят; махи; неконтролируемая эксцентрика; отсутствует контроль темпа.
Концентрированный подъём на бицепс тяжёлые 6–8 повторений,4,0,8,3,180,"Сядьте, упёрев локоть в бедро; поднимайте гантель к плечу, делая паузу вверху, опускайте контролируемо. Выбирайте вес на 6–8 повторений с чистой техникой.",бицепс,4.2,Concentration curl — heavy 6–8 reps,Средний,Движение плечом; потеря фиксации локтя; скручивание корпуса; отсутствует контроль темпа.
Французский жим с дефицита,40,0,15,5,150,"Лягте на скамью, штанга над грудью; сгибайте руки, опуская гриф к лбу/за голову, разогните до полного сокращения трицепса. Используйте подставку для увеличения амплитуды, держите спину нейтральной.",трицепс,3.5,Lying triceps extension — deficit,Продвинутый,Локти расходятся; опускание на лоб; гиперпрогиб в пояснице; отсутствует контроль темпа.
Разгибания на блоке темп 3–1–3,25,0,8,5,90,"Встаньте у верхнего блока, локти прижаты; разгибайте руки вниз до полного выпрямления и возвращайте без раскачки. Медленный негатив и пауза в сокращении.",трицепс,4.9,Triceps pushdown — tempo 3–1–3,Продвинутый,Локти уходят от корпуса; раскачка; перегиб кистей; отсутствует контроль темпа.
Отжимания на брусьях на нестабильной опоре,0,0,6,3,180,"Опирайтесь на брусья, корпус слегка наклонён; опускайтесь до параллели плеч с локтями, выжимайтесь вверх. Используйте валик/мяч, контролируйте положение корпуса.",грудь/трицепс,4.3,Dip — unstable surface,Продвинутый,Сильный провал в плечах; чрезмерная глубина; разброс локтей; отсутствует контроль темпа.
Отжимания на нестабильной опоре,5,0,10,4,120,"Упритесь ладонями под плечами, корпус прямой; опуститесь до касания грудью/90° в локтях, выжмитесь вверх. Используйте валик/мяч, контролируйте положение корпуса.",грудь/плечи/трицепс,4.8,Push-up — unstable surface,Продвинутый,Провисание корпуса; локти сильно в стороны; неполная амплитуда; отсутствует контроль темпа.
Скручивания на нестабильной опоре,0,0,12,4,90,"Лягте на спину, колени согнуты; подкручивайте грудную клетку к тазу, не тяните шею, делайте короткую паузу вверху. Используйте валик/мяч, контролируйте положение корпуса.",пресс,3.6,Crunch — unstable surface,Продвинутый,Тянуть шею руками; рывки; большой размах вместо подкручивания; отсутствует контроль темпа.
Подъём ног в висе на нестабильной опоре,0,0,15,4,60,"Повисните на перекладине; поднимайте прямые ноги/колени к груди, удерживая таз подкрученным, опускайте медленно. Используйте валик/мяч, контролируйте положение корпуса.",нижний пресс,3.6,Hanging leg raise — unstable surface,Продвинутый,Махи ногами; прогиб поясницы; отсутствие подкрутки таза; отсутствует контроль темпа.
Планка на нестабильной опоре,0,20,0,4,180,"Опуститесь на предплечья, корпус прямой; держите нейтральную спину и напряжённый кор, не провисайте. Используйте валик/мяч, контролируйте положение корпуса.",кор,3.5,Plank — unstable surface,Продвинутый,Провисание поясницы; поднятый таз; разведение лопаток; отсутствует контроль темпа.
Русский твист на нестабильной опоре,0,30,0,4,150,"Сядьте, корпус слегка отклонён; поворачивайте плечевой пояс и таз синхронно, касаясь пола по сторонам. Используйте валик/мяч, контролируйте положение корпуса.",косые мышцы живота,4.3,Russian twist — unstable surface,Продвинутый,Скругление спины; вращение одними руками; слишком быстрый темп; отсутствует контроль темпа.
Берпи на нестабильной опоре,0,20,0,5,150,"Из стойки сделайте упор лёжа, отожмитесь; подпрыгните вверх с руками над головой. Используйте валик/мяч, контролируйте положение корпуса.",всё тело/кардио,4.5,Burpee — unstable surface,Продвинутый,Плохая техника отжимания; колени заваливаются при прыжке; отсутствие фиксации вверху; отсутствует контроль темпа.
Скакалка на нестабильной опоре,0,60,0,3,60,"Держите локти близко к корпусу; вращайте верёвку кистями и приземляйтесь на носки мягко и ритмично. Используйте валик/мяч, контролируйте положение корпуса.",кардио/икры,3.5,Jump rope — unstable surface,Продвинутый,Слишком высокие прыжки; вращение плечами; жёсткая посадка на пятку; отсутствует контроль темпа.
Тяга каната к лицу темп 3–1–3,15,0,8,3,60,"Встаньте у блока с канатом; тяните к лицу, разводя кисти и сводя лопатки, держите локти высоко. Медленный негатив и пауза в сокращении.",задняя дельта/верх спины,4.2,Face pull — tempo 3–1–3,Продвинутый,Локти низко; тянуть руками без лопаток; нет разведения кистей; отсутствует контроль темпа.
Тяга гантели в наклоне тяжёлые 6–8 повторений,10,0,15,5,180,"Упритесь коленом и рукой в скамью; тяните гантель к тазу, сводя лопатки, опускайте без рывка. Выбирайте вес на 6–8 повторений с чистой техникой.",широчайшие/средняя спина,4.5,Dumbbell row — heavy 6–8 reps,Средний,Скручивание корпуса; рывки; тяга к плечу вместо к тазу; отсутствует контроль темпа.
Хип-траст с дефицита,20,0,12,3,120,"Плечи на скамье, штанга на тазе; поднимайте таз до линии корпус–бёдра, делая паузу вверху, опускайте. Используйте подставку для увеличения амплитуды, держите спину нейтральной.",ягодицы,4.2,Hip thrust — deficit,Продвинутый,Чрезмерный прогиб; короткая пауза; неверная постановка стоп; отсутствует контроль темпа.
Ягодичный мост на нестабильной опоре,5,0,6,4,60,"Лягте на спину, стопы ближе к тазу; поднимайте таз, сжимая ягодицы, опускайте, сохраняя нейтральную спину. Используйте валик/мяч, контролируйте положение корпуса.",ягодицы,3.6,Glute bridge — unstable surface,Продвинутый,Толчок поясницей; неполная амплитуда; колени гуляют; отсутствует контроль темпа.
Трастеры с дефицита,20,40,0,3,60,"Присядьте со штангой на груди и взрывно выжмите её над головой, возвращаясь в стойку контролируемо. Используйте подставку для увеличения амплитуды, держите спину нейтральной.",всё тело,4.4,Thruster — deficit,Продвинутый,Ранний пресс до выпрямления ног; дуга грифа; колени заваливаются; отсутствует контроль темпа.
Жим Арнольда тяжёлые 6–8 повторений,6,0,8,5,180,"Сидя, начните с гантелями у груди ладонями к себе; вращая кисти, выжмите вверх до полного разгибания и опустите обратно. Выбирайте вес на 6–8 повторений с чистой техникой.",плечи,4.1,Arnold press — heavy 6–8 reps,Средний,Сваливание локтей; сведение с ударом; излишний прогиб; отсутствует контроль темпа.
Фермерская прогулка тяжёлые 6–8 повторений,10,30,0,5,180,"Возьмите тяжёлые гантели, корпус высокий; идите ровно короткими шагами, удерживая кор и нейтральную спину. Выбирайте вес на 6–8 повторений с чистой техникой.",хват/кор/трапеции,3.7,Farmer's walk — heavy 6–8 reps,Средний,Сутулость; переваливание корпуса; стук снарядов о ноги; задержка дыхания; отсутствует контроль темпа.
Кикбэк на трицепс с гантелью тяжёлые 6–8 повторений,10,0,15,5,60,"Наклоните корпус, локоть прижмите и поднимите вверх; разгибайте руку назад до полного сокращения трицепса, возвращайте плавно. Выбирайте вес на 6–8 повторений с чистой техникой.",трицепс,4.7,Dumbbell triceps kickback — heavy 6–8 reps,Средний,Движение плечом; локоть опускается; чрезмерный вес; отсутствует контроль темпа.
Кикбэк на трицепс на блоке (канате) темп 3–1–3,20,0,6,4,120,"Корпус в наклоне, локти фиксированы; разгибайте предплечья назад, разводя концы каната в конце амплитуды. Медленный негатив и пауза в сокращении.",трицепс,4.3,Cable triceps kickback (rope) — tempo 3–1–3,Продвинутый,Разведение локтей; движение корпусом; излом запястий; отсутствует контроль темпа.
Кикбэк на трицепс с опорой на скамью тяжёлые 6–8 повторений,20,0,10,5,150,Опирайтесь на скамью свободной рукой; из положения наклона разгибайте руку с гантелью назад до полного выпрямления. Выбирайте вес на 6–8 повторений с чистой техникой.,трицепс,4.6,Bench-supported dumbbell triceps kickback — heavy 6–8 reps,Средний,Округление спины; локоть «уезжает»; махи; отсутствует контроль темпа.
